ano,mes,estacao,preco,preco_deflacionado,produto
2005,janeiro,verão,"0,4942","1,79",leite
2005,fevereiro,verão,"0,4855","1,75",leite
2005,março,verão,"0,5142","1,84",leite
2005,abril,outono,"0,5175","1,84",leite
2005,maio,outono,"0,5195","1,85",leite
2005,junho,outono,"0,4985","1,79",leite
2005,julho,inverno,"0,4398","1,58",leite
2005,agosto,inverno,"0,4071","1,48",leite
2005,setembro,inverno,"0,4099","1,49",leite
2005,outubro,primavera,"0,4118","1,49",leite
2005,novembro,primavera,"0,4086","1,47",leite
2005,dezembro,primavera,"0,3976","1,43",leite
2006,janeiro,verão,"0,3937","1,4",leite
2006,fevereiro,verão,"0,4068","1,45",leite
2006,março,verão,"0,4107","1,47",leite
2006,abril,outono,"0,4356","1,56",leite
2006,maio,outono,"0,426","1,52",leite
2006,junho,outono,"0,4037","1,43",leite
2006,julho,inverno,"0,3976","1,41",leite
2006,agosto,inverno,"0,3947","1,39",leite
2006,setembro,inverno,"0,3991","1,4",leite
2006,outubro,primavera,"0,4065","1,42",leite
2006,novembro,primavera,"0,4079","1,42",leite
2006,dezembro,primavera,"0,4117","1,43",leite
2007,janeiro,verão,"0,419","1,44",leite
2007,fevereiro,verão,"0,4239","1,46",leite
2007,março,verão,"0,4427","1,52",leite
2007,abril,outono,"0,4775","1,64",leite
2007,maio,outono,"0,517","1,77",leite
2007,junho,outono,"0,5943","2,03",leite
2007,julho,inverno,"0,671","2,28",leite
2007,agosto,inverno,"0,6928","2,32",leite
2007,setembro,inverno,"0,5675","1,88",leite
2007,outubro,primavera,"0,5492","1,81",leite
2007,novembro,primavera,"0,5581","1,82",leite
2007,dezembro,primavera,"0,5575","1,79",leite
2008,janeiro,verão,"0,5698","1,81",leite
2008,fevereiro,verão,"0,5859","1,85",leite
2008,março,verão,"0,6094","1,92",leite
2008,abril,outono,"0,6324","1,97",leite
2008,maio,outono,"0,6425","1,96",leite
2008,junho,outono,"0,6407","1,92",leite
2008,julho,inverno,"0,5897","1,75",leite
2008,agosto,inverno,"0,553","1,64",leite
2008,setembro,inverno,"0,5061","1,5",leite
2008,outubro,primavera,"0,5105","1,5",leite
2008,novembro,primavera,"0,5197","1,52",leite
2008,dezembro,primavera,"0,5513","1,62",leite
2009,janeiro,verão,"0,5512","1,62",leite
2009,fevereiro,verão,"0,5534","1,63",leite
2009,março,verão,"0,5457","1,62",leite
2009,abril,outono,"0,5857","1,74",leite
2009,maio,outono,"0,6295","1,86",leite
2009,junho,outono,"0,6696","1,99",leite
2009,julho,inverno,"0,6833","2,04",leite
2009,agosto,inverno,"0,6494","1,94",leite
2009,setembro,inverno,"0,6046","1,8",leite
2009,outubro,primavera,"0,5543","1,65",leite
2009,novembro,primavera,"0,5469","1,63",leite
2009,dezembro,primavera,"0,5417","1,62",leite
2010,janeiro,verão,"0,5487","1,62",leite
2010,fevereiro,verão,"0,6235","1,82",leite
2010,março,verão,"0,6878",2,leite
2010,abril,outono,"0,6918","1,99",leite
2010,maio,outono,"0,6511","1,85",leite
2010,junho,outono,"0,5919","1,67",leite
2010,julho,inverno,"0,573","1,62",leite
2010,agosto,inverno,"0,566","1,58",leite
2010,setembro,inverno,"0,5591","1,54",leite
2010,outubro,primavera,"0,5889","1,61",leite
2010,novembro,primavera,"0,606","1,63",leite
2010,dezembro,primavera,"0,6299","1,69",leite
2011,janeiro,verão,"0,6394","1,7",leite
2011,fevereiro,verão,"0,6577","1,73",leite
2011,março,verão,"0,7001","1,83",leite
2011,abril,outono,"0,743","1,93",leite
2011,maio,outono,"0,756","1,97",leite
2011,junho,outono,"0,7262","1,89",leite
2011,julho,inverno,"0,7222","1,88",leite
2011,agosto,inverno,"0,7486","1,94",leite
2011,setembro,inverno,"0,7513","1,93",leite
2011,outubro,primavera,"0,7108","1,82",leite
2011,novembro,primavera,"0,7315","1,86",leite
2011,dezembro,primavera,"0,7344","1,87",leite
2012,janeiro,verão,"0,7545","1,92",leite
2012,fevereiro,verão,"0,7689","1,96",leite
2012,março,verão,"0,7763","1,96",leite
2012,abril,outono,"0,7774","1,95",leite
2012,maio,outono,"0,7583","1,88",leite
2012,junho,outono,"0,7423","1,83",leite
2012,julho,inverno,"0,7334","1,78",leite
2012,agosto,inverno,"0,7391","1,77",leite
2012,setembro,inverno,"0,7457","1,77",leite
2012,outubro,primavera,"0,7548","1,8",leite
2012,novembro,primavera,"0,7511","1,79",leite
2012,dezembro,primavera,"0,7483","1,77",leite
2013,janeiro,verão,"0,76","1,79",leite
2013,fevereiro,verão,"0,7693","1,81",leite
2013,março,verão,"0,7931","1,86",leite
2013,abril,outono,"0,8251","1,93",leite
2013,maio,outono,"0,8456","1,98",leite
2013,junho,outono,"0,8824","2,05",leite
2013,julho,inverno,"0,933","2,16",leite
2013,agosto,inverno,"0,9643","2,22",leite
2013,setembro,inverno,"0,9639","2,19",leite
2013,outubro,primavera,"0,9476","2,14",leite
2013,novembro,primavera,"0,9158","2,06",leite
2013,dezembro,primavera,"0,8877","1,99",leite
2014,janeiro,verão,"0,8719","1,94",leite
2014,fevereiro,verão,"0,8861","1,96",leite
2014,março,verão,"0,9313","2,03",leite
2014,abril,outono,"0,9532","2,07",leite
2014,maio,outono,"0,9606","2,09",leite
2014,junho,outono,"0,9419","2,06",leite
2014,julho,inverno,"0,9271","2,04",leite
2014,agosto,inverno,"0,9227","2,03",leite
2014,setembro,inverno,"0,9056","1,99",leite
